,name,c3,no_commits,month_diff,first_commit,last_commit
212,magma-argocd-apps,13.4,67,5,2020-01-20,2020-05-24
213,release-openstack-k8s,10.85,369,34,2020-01-29,2022-11-23
214,trailer,0.71,15,21,2018-06-01,2020-02-25
215,mcc-salesforce-collector,0.0,0,1,0,0
216,openstack-k8s-virtual-lab,2.33,7,3,2020-05-05,2020-07-30
217,atsea-sample-shop-app,1.21,46,38,2017-04-20,2020-06-05
218,launchpad,2.41,65,27,2020-05-25,2022-08-08
219,vol-test,0.0,0,1,0,0
220,cli,78.44,6903,88,2013-02-14,2020-06-09
221,libkv,3.42,311,91,2015-05-12,2022-11-25
222,compose-on-kubernetes,18.5,222,12,2018-12-04,2019-11-07
223,libnetwork,41.98,2771,66,2015-02-20,2020-07-22
224,container-cloud-cli,4.0,4,1,2020-09-04,2020-09-14
225,lens-extension-cc,55.76,1394,25,2020-11-03,2022-11-28
226,helm-charts,9.0,9,1,2020-11-25,2020-11-27
227,cri-dockerd,12.95,958,74,2016-07-28,2022-09-25
228,prodsec,0.0,0,1,0,0
229,oscalkit,2.3,85,37,2018-04-13,2021-04-19
230,dataops-dataeng,24.0,24,1,2022-11-23,2022-11-28
231,security,6.0,30,5,2021-11-01,2022-03-31
232,mcc-on-equinix-terraform-templates,2.54,33,13,2021-10-15,2022-11-11
233,mosk-triliovault,1.0,1,1,2022-03-09,2022-03-09
234,mcc-api,1.33,4,3,2022-04-20,2022-06-22
235,openstack-refapp,1.17,35,30,2020-03-31,2022-09-23
