,name,pp_percentage
190,charm-nova-compute,0.0
191,charm-nova-compute-proxy,0.0
192,charm-octavia,0.0
193,charm-octavia-dashboard,0.0
194,charm-odl-controller,0.0
195,charm-openstack-dashboard,0.0
196,charm-openvswitch-odl,0.0
197,charm-panko,0.0
198,charm-percona-cluster,0.0
199,charm-rabbitmq-server,0.0
200,charm-specs,0.0
201,charm-swift-proxy,0.0
202,charm-swift-storage,0.0
203,charm-tempest,0.0
204,charm-trove,0.0
205,charm-vault,0.0
206,charms.ceph,0.0
207,charms.openstack,0.0
208,cinder,0.0
209,cinder-specs,0.0
210,cinder-tempest-plugin,0.0
211,cinderlib,0.0
212,cliff,0.0
213,cloudkitty,0.0
214,cloudkitty-dashboard,0.0
215,cloudkitty-specs,0.0
216,cloudkitty-tempest-plugin,0.0
217,compute-hyperv,0.0
218,congress,0.0
219,congress-dashboard,0.0
220,congress-specs,0.0
221,congress-tempest-plugin,0.0
222,constellations,0.0
223,contributor-guide,0.0
224,cookbook-openstack-application-catalog,0.0
225,cookbook-openstack-bare-metal,0.0
226,cookbook-openstack-block-storage,0.0
227,cookbook-openstack-client,0.0
228,cookbook-openstack-common,0.0
229,cookbook-openstack-compute,0.0
230,cookbook-openstack-dashboard,0.0
231,cookbook-openstack-data-processing,0.0
232,cookbook-openstack-database,0.0
233,cookbook-openstack-dns,0.0
234,cookbook-openstack-identity,0.0
235,cookbook-openstack-image,0.0
236,cookbook-openstack-integration-test,0.0
237,cookbook-openstack-network,0.0
238,cookbook-openstack-object-storage,0.0
239,cookbook-openstack-ops-database,0.0
240,cookbook-openstack-ops-messaging,0.0
241,cookbook-openstack-orchestration,0.0
242,cookbook-openstack-telemetry,0.0
243,cookbook-openstackclient,0.0
244,coverage2sql,0.0
245,cue,0.0
246,cue-dashboard,0.0
247,cyborg,0.0
248,cyborg-specs,0.0
249,deb-alembic,0.0
250,deb-aodh,0.0
251,deb-auto-backports,0.0
252,deb-bandit,0.0
253,deb-barbican,0.0
254,deb-ceilometer,0.0
255,deb-ceilometermiddleware,0.0
256,deb-cinder,0.0
257,deb-congress,0.0
258,deb-designate,0.0
259,deb-designate-dashboard,0.0
260,deb-fonts-materialdesignicons-webfont,0.0
261,deb-fonts-roboto-fontface,0.0
262,deb-git-review,0.0
263,deb-glance,0.0
264,deb-glare,0.0
265,deb-gnocchi,0.0
266,deb-heat,0.0
267,deb-heat-cfntools,0.0
268,deb-horizon,0.0
269,deb-ironic,0.0
270,deb-ironic-inspector,0.0
271,deb-ironic-ui,0.0
272,deb-kazoo,0.0
273,deb-keystone,0.0
274,deb-liberasurecode,0.0
275,deb-libisal,0.0
276,deb-magnum,0.0
277,deb-manila,0.0
278,deb-manila-ui,0.0
279,deb-migrate,0.0
280,deb-mistral,0.0
281,deb-msgpack-python,0.0
282,deb-murano,0.0
283,deb-murano-agent,0.0
284,deb-murano-dashboard,0.0
285,deb-networking-arista,0.0
286,deb-networking-cisco,0.0
287,deb-networking-hyperv,0.0
288,deb-networking-l2gw,0.0
289,deb-networking-midonet,0.0
290,deb-networking-mlnx,0.0
291,deb-networking-nec,0.0
292,deb-networking-odl,0.0
293,deb-networking-ovn,0.0
294,deb-neutron,0.0
295,deb-neutron-fwaas,0.0
296,deb-neutron-lbaas,0.0
297,deb-neutron-taas,0.0
298,deb-neutron-vpnaas,0.0
299,deb-nodepool,0.0
300,deb-nova,0.0
301,deb-novnc,0.0
302,deb-openstack-doc-tools,0.0
303,deb-openstack-meta-packages,0.0
304,deb-openstack-nose,0.0
305,deb-openstack-pkg-tools,0.0
306,deb-openstack-trove,0.0
307,deb-oslosphinx,0.0
308,deb-python-aioeventlet,0.0
309,deb-python-aodhclient,0.0
310,deb-python-autobahn,0.0
311,deb-python-automaton,0.0
312,deb-python-barbicanclient,0.0
313,deb-python-bashate,0.0
314,deb-python-cassandra-driver,0.0
315,deb-python-castellan,0.0
316,deb-python-ceilometerclient,0.0
317,deb-python-ceilometermiddleware,0.0
318,deb-python-cinderclient,0.0
319,deb-python-cliff,0.0
320,deb-python-coffin,0.0
321,deb-python-colander,0.0
322,deb-python-concurrent.futures,0.0
