,CART,KNN,LR,NB,RF
MIRANTIS,0.649,0.667,0.706,0.698,0.681
MOZILLA,0.741,0.629,0.639,0.614,0.736
OPENSTACK,0.555,0.588,0.673,0.593,0.614
WIKIMEDIA,0.625,0.618,0.694,0.676,0.638
