,precision,recall,f1,roc_auc
SVM,0.652,0.6,0.628,0.574
CART,0.707,0.65,0.666,0.541
KNN,0.708,0.573,0.616,0.725
LR,0.62,0.523,0.585,0.565
NB,0.62,0.477,0.53,0.544
RF,0.69,0.7,0.693,0.67
