,CART,KNN,LR,NB,RF
MIRANTIS,0.633,0.683,0.683,0.7,0.7
MOZILLA,0.731,0.549,0.608,0.529,0.731
OPENSTACK,0.605,0.599,0.704,0.556,0.648
WIKIMEDIA,0.625,0.562,0.688,0.656,0.625
