,CART,KNN,LR,NB,RF
MIRANTIS,0.6,0.683,0.775,0.746,0.667
MOZILLA,0.722,0.663,0.678,0.683,0.741
OPENSTACK,0.569,0.57,0.645,0.696,0.61
WIKIMEDIA,0.641,0.697,0.652,0.714,0.627
